PID	Status	Label
-	0	com.apple.CalendarAgentLauncher
285	-	com.apple.CalendarAgent
-	0	com.apple.btsa
9783	-	com.apple.bookstoreagent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.BezelUIServer
-	0	com.apple.avrcpAgent
-	0	com.apple.AssistiveControl
-	0	com.apple.assistantd
-	0	com.apple.assistant_service
-	0	com.apple.apsctl
-	0	com.apple.appstoreupdateagent
-	0	com.apple.appsleep
-	0	com.apple.appleseed.seedusaged
-	0	com.apple.AOSPushRelay
-	0	com.apple.aos.migrate
-	0	com.apple.alf.useragent
79852	-	com.apple.AirPortBaseStationAgent
312	-	com.apple.AirPlayUIAgent
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.AddressBook.abd
267	-	com.apple.accountsd
-	0	com.oracle.java.Java-Updater
-	0	com.google.keystone.system.agent
430	-	homebrew.mxcl.redis
431	-	homebrew.mxcl.rabbitmq
432	-	homebrew.mxcl.memcached
433	-	homebrew.mxcl.elasticsearch
-	0	com.citrixonline.GoToMeeting.G2MUpdate
80	-	0x7ffb20d009d0.anonymous.loginwindow
-	0	com.apple.launchctl.Aqua
88965	-	0x7ffb20d0b510.anonymous.com.apple.iClou
10021	-	0x7ffb20d06480.anonymous.installd
82328	-	0x7ffb20c3a5f0.anonymous.Skype
-	0	com.apple.mdworker.lsb.01000000-0000-0000-0000-000000000000
76721	-	0x7ffb20d0a970.anonymous.mysqld
-	0	com.apple.mdworker.lsb.02000000-0000-0000-0000-000000000000
9782	-	0x7ffb20e00c70.anonymous.com.apple.BKAge
9695	-	0x7ffb20c36190.anonymous.com.apple.MailS
40	-	0x7ffb20c36430.anonymous.usbd
-	0	com.apple.mdworker.single.07000000-0000-0000-0000-000000000000
673	-	0x7ffb20c34fd0.anonymous.com.apple.Input
-	0	com.apple.mdworker.single.08000000-0000-0000-0000-000000000000
410	-	0x7ffb20c370b0.anonymous.com.apple.Chara
401	-	0x7ffb20c36b60.anonymous.com.apple.appst
400	-	0x7ffb20c368c0.anonymous.DataDetectorsDy
387	-	0x7ffb20c35ba0.anonymous.com.apple.Share
89477	-	com.apple.mdworker.shared.01000000-0000-0000-0000-000000000000
89082	-	com.apple.mdworker.shared.02000000-0000-0000-0000-000000000000
-	0	com.apple.mdworker.shared.03000000-0000-0000-0000-000000000000
-	0	com.apple.mdworker.shared.04000000-0000-0000-0000-000000000000
309	-	0x7ffb20d049f0.anonymous.com.apple.IconS
-	0	com.apple.mbpluginhost.user.90DAD7DF-1176-44C2-B216-75B0C93F31D3
-	0	com.apple.mbpluginhost.user.976B12BE-DD45-4035-86CE-2FA4384B8A16
-	0	com.apple.mbpluginhost.user.6B831E71-EECF-4D7D-BBEB-43B2A0195E96
-	0	com.apple.mbpluginhost.user.3F1A52EC-DBB4-46B3-9B6F-C05F81776C80
-	0	com.apple.mbpluginhost.user.04CC261A-627F-4A31-9286-ED9BD168F0AC
-	0	com.apple.mbpluginhost.user.4530F7EB-0F48-4779-9FDD-9F8C62598332
-	0	com.apple.mbpluginhost.user.117B3A7C-821F-474D-9A2F-D830FCB8721B
-	0	com.apple.mbpluginhost.user.655ACE14-F5BD-4C82-B51F-9E648664DA7A
-	0	com.apple.mbpluginhost.user.230B7080-BCEC-4543-BE77-4C9E2283202E
-	0	com.apple.mbpluginhost.user.249B55EC-02B8-4111-928A-594F0272E36B
-	0	com.apple.mbpluginhost.user.94C0D31F-2536-4372-825A-721CEAA37570
236	-	0x7ffb20d03180.anonymous.launchd
214	-	0x7ffb20c33a60.anonymous.CVMServer
292	-	0x7ffb20f0ae90.anonymous.com.apple.Notes
287	-	0x7ffb20c33110.anonymous.IMDPersistenceA
77	-	0x7ffb20d01ed0.anonymous.mds
268	-	0x7ffb20d02b50.anonymous.com.apple.inter
97	-	0x7ffb20c326d0.anonymous.apsd
115	-	0x7ffb20f0abe0.anonymous.WindowServer
37	-	0x7ffb20e009c0.anonymous.coreservicesd
80	-	0x7ffb20e00180.anonymous.loginwindow
-	0	com.apple.xmigrationhelper.user
-	0	com.apple.TrustEvaluationAgent
266	-	com.apple.tccd
-	0	com.apple.syncdefaultsd
61626	-	com.apple.speech.speechsynthesisd
295	-	com.apple.security.cloudkeychainproxy3
269	-	com.apple.secd
-	0	com.apple.sbd
-	0	com.apple.pluginkit.pkd
-	0	com.apple.netauth.user.auth
381	-	com.apple.metadata.mdflagwriter
-	0	com.apple.mdworker.sizing
-	0	com.apple.mdworker.single
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.mail
-	0	com.apple.mdworker.lsb
-	0	com.apple.mdworker.isolation
-	0	com.apple.mdworker.bundles
-	0	com.apple.mdworker.32bit
-	0	com.apple.mbpluginhost.user
-	0	com.apple.mbloginhelper.user
-	0	com.apple.KerberosHelper.LKDCHelper
-	0	com.apple.FileSyncAgent.PHD
240	-	com.apple.distnoted.xpc.agent
